(38,38,M,26-30,1.71-1.80,NORMALI,DESTRA,FERMO,MANO,TASCA_GIACCA_ALTA)
(39,39,M,26-30,1.71-1.80,NORMALI,DESTRA,FERMO,MANO,TASCA_GIACCA_ALTA)
(40,40,M,26-30,1.71-1.80,NORMALI,DESTRA,FERMO,MANO,TASCA_GIACCA_ALTA)
(41,41,M,26-30,1.71-1.80,NORMALI,DESTRA,FERMO,MANO,TASCA_GIACCA_BASSA)
(42,42,M,26-30,1.71-1.80,NORMALI,DESTRA,FERMO,MANO,TASCA_GIACCA_BASSA)
(43,43,M,26-30,1.71-1.80,NORMALI,DESTRA,FERMO,MANO,TASCA_GIACCA_BASSA)
(44,44,M,26-30,1.71-1.80,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_GIACCA_ALTA)
(45,45,M,26-30,1.71-1.80,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_GIACCA_ALTA)
(46,46,M,26-30,1.71-1.80,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_GIACCA_ALTA)
(47,47,M,26-30,1.71-1.80,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_GIACCA_BASSA)
(48,48,M,26-30,1.71-1.80,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_GIACCA_BASSA)
(49,49,M,26-30,1.71-1.80,NORMALI,DESTRA,SEDUTO,MANO,TASCA_GIACCA_ALTA)
(50,50,M,26-30,1.71-1.80,NORMALI,DESTRA,SEDUTO,MANO,TASCA_GIACCA_ALTA)
(51,51,M,26-30,1.71-1.80,NORMALI,DESTRA,SEDUTO,MANO,TASCA_GIACCA_ALTA)
