(2,2,M,21-25,1.81-1.90,NORMALI,DESTRA,FERMO,MANO,TASCA_DESTRA_DAVANTI_PANTALONI)
(3,3,M,21-25,1.81-1.90,NORMALI,SINISTRA,FERMO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(4,4,M,21-25,1.81-1.90,NORMALI,SINISTRA,CAMMINANDO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(5,5,M,21-25,1.81-1.90,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_DESTRA_DAVANTI_PANTALONI)
(6,6,M,21-25,1.81-1.90,NORMALI,DESTRA,SCALE_GIU,MANO,TASCA_DESTRA_DAVANTI_PANTALONI)
(7,7,M,21-25,1.81-1.90,NORMALI,SINISTRA,SCALE_GIU,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(8,8,M,21-25,1.81-1.90,NORMALI,SINISTRA,SCALE_SU,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(9,9,M,21-25,1.81-1.90,NORMALI,DESTRA,SCALE_SU,MANO,TASCA_DESTRA_DAVANTI_PANTALONI)
(10,10,M,21-25,1.81-1.90,NORMALI,DESTRA,SEDUTO,MANO,TASCA_DESTRA_DAVANTI_PANTALONI)
(11,11,M,21-25,1.81-1.90,NORMALI,SINISTRA,SEDUTO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
