(31,31,M,21-25,1.71-1.80,NORMALI,SINISTRA,FERMO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(32,32,M,21-25,1.71-1.80,NORMALI,SINISTRA,CAMMINANDO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(33,33,M,21-25,1.71-1.80,NORMALI,SINISTRA,SEDUTO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(34,34,M,21-25,1.71-1.80,NORMALI,SINISTRA,SCALE_GIU,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(35,35,M,21-25,1.71-1.80,NORMALI,SINISTRA,SCALE_SU,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(36,36,M,21-25,1.71-1.80,NORMALI,SINISTRA,SCALE_GIU,CHIAMATA,TASCA_SINISTRA_DAVANTI_PANTALONI)
(37,37,M,21-25,1.71-1.80,NORMALI,SINISTRA,SCALE_SU,CHIAMATA,TASCA_SINISTRA_DAVANTI_PANTALONI)
(38,38,M,21-25,1.71-1.80,NORMALI,SINISTRA,FERMO,CHIAMATA,TASCA_SINISTRA_DAVANTI_PANTALONI)
(39,39,M,21-25,1.71-1.80,NORMALI,SINISTRA,CAMMINANDO,CHIAMATA,TASCA_SINISTRA_DAVANTI_PANTALONI)
(40,40,M,21-25,1.71-1.80,NORMALI,SINISTRA,SEDUTO,CHIAMATA,TASCA_SINISTRA_DAVANTI_PANTALONI)
